id	title	price_pc	link	image_link	category_name1	category_name2	category_name3	model_number	shipping	product_flag	naver_category
4538	세스코 핸드제닉 살균기(화이트), 의무사용기간 36개월, 등록비 면제	27900	http://si.rental-shop.net/html/dh_prod/prod_view/4538	http://rentalshop.site/_data/file/goodsImages/62030ac7813990ab40f2a293267d0eed.jpg	계절·환경	방역서비스			0	렌탈	
4944	위캔하이도기 전해 살균기 토일렉V1, 의무사용기간 60개월, 등록비 면제	8500	http://si.rental-shop.net/html/dh_prod/prod_view/4944	http://rentalshop.site/_data/file/goodsImages/c6b1b6718a1e1cedb61f278daecff6c0.png	계절·환경	변기살균기			0	렌탈	
5973	이엔에치헬스케어 휘슬렛 창문형 필터 패키지(소형+대형), 의무사용기간 24개월, 등록비 면제	26800	http://si.rental-shop.net/html/dh_prod/prod_view/5973	http://rentalshop.site/_data/file/goodsImages/ec99949aecd728b518dc8f652edad5a2.jpg	계절·환경	창문형 필터			0	렌탈	
5974	이엔에치헬스케어 휘슬렛 창문형 필터 패키지(소형2+대형2), 의무사용기간 36개월, 등록비 면제	32900	http://si.rental-shop.net/html/dh_prod/prod_view/5974	http://rentalshop.site/_data/file/goodsImages/ec99949aecd728b518dc8f652edad5a2_1.jpg	계절·환경	창문형 필터			0	렌탈	
1258	삼성 천장형 무풍 1WAY 6평 시스템 냉난방 에어컨, 의무사용기간 60개월, 등록비 면제	43100	http://si.rental-shop.net/html/dh_prod/prod_view/1258	http://rentalshop.site/_data/file/goodsImages/04ff8709c0883b1f96b9ce40b5ec5dd9_1_1_1_1_1.jpg	계절·환경	냉난방 에어컨			0	렌탈	
5663	삼성세척서비스 1회 무료 냉난방 무풍1Way 6평형 단상, 의무사용기간 60개월, 등록비 면제	46100	http://si.rental-shop.net/html/dh_prod/prod_view/5663	http://rentalshop.site/_data/file/goodsImages/04ff8709c0883b1f96b9ce40b5ec5dd9_1_1_1_1_1_1.jpg	계절·환경	냉난방 에어컨			0	렌탈	
1260	삼성 천장형 무풍 1WAY 8평 시스템 냉난방 에어컨, 의무사용기간 60개월, 등록비 면제	43900	http://si.rental-shop.net/html/dh_prod/prod_view/1260	http://rentalshop.site/_data/file/goodsImages/ebde1a60cda060dfe848ee066a937da5.jpg	계절·환경	냉난방 에어컨			0	렌탈	
5660	삼성 세척서비스 1회 무료 냉난방 무풍1Way 8평형 단상, 의무사용기간 60개월, 등록비 면제	46900	http://si.rental-shop.net/html/dh_prod/prod_view/5660	http://rentalshop.site/_data/file/goodsImages/ebde1a60cda060dfe848ee066a937da5_1.jpg	계절·환경	냉난방 에어컨			0	렌탈	
1235	삼성 천장형 무풍 1WAY 10평 시스템 냉난방 에어컨, 의무사용기간 60개월, 등록비 면제	54900	http://si.rental-shop.net/html/dh_prod/prod_view/1235	http://rentalshop.site/_data/file/goodsImages/04ff8709c0883b1f96b9ce40b5ec5dd9_1_1_1.jpg	계절·환경	냉난방 에어컨			0	렌탈	
5004	삼성 천장형 1WAY 냉난방기 10평형 (AC040RA1PBH1SY), 의무사용기간 60개월, 등록비 면제	56900	http://si.rental-shop.net/html/dh_prod/prod_view/5004	http://rentalshop.site/_data/file/goodsImages/37b1ee47919637ad50ec8535acebece8.jpg	계절·환경	냉난방 에어컨			0	렌탈	
1265	삼성 천장형 무풍 1WAY 13평 시스템 냉난방 에어컨, 의무사용기간 60개월, 등록비 면제	63800	http://si.rental-shop.net/html/dh_prod/prod_view/1265	http://rentalshop.site/_data/file/goodsImages/04ff8709c0883b1f96b9ce40b5ec5dd9_1_1.jpg	계절·환경	냉난방 에어컨			0	렌탈	
5479	삼성 천장형 1WAY 냉난방기 13평형 (AC052RA1PBH1SY), 의무사용기간 60개월, 등록비 면제	66800	http://si.rental-shop.net/html/dh_prod/prod_view/5479	http://rentalshop.site/_data/file/goodsImages/f47beb3765c91ff21059caa4bd69b1d5.jpg	계절·환경	냉난방 에어컨			0	렌탈	
3395	삼성 천장형 원형 냉난방기 15평형 (AC060KA4PBH5SY), 의무사용기간 60개월, 등록비 면제	65400	http://si.rental-shop.net/html/dh_prod/prod_view/3395	http://rentalshop.site/_data/file/goodsImages/b63b7b731a12a91afda6d912ba380f02.jpg	계절·환경	냉난방 에어컨			0	렌탈	
5487	삼성세척서비스 1회 무료 360CST 냉난방 15평형 단상, 의무사용기간 60개월, 등록비 면제	68400	http://si.rental-shop.net/html/dh_prod/prod_view/5487	http://rentalshop.site/_data/file/goodsImages/c60c5717051a4c4a3f268d1ae673c5f1.jpg	계절·환경	냉난방 에어컨			0	렌탈	
1236	삼성 천장형 무풍 1WAY 15평 시스템 냉난방 에어컨, 의무사용기간 60개월, 등록비 면제	63000	http://si.rental-shop.net/html/dh_prod/prod_view/1236	http://rentalshop.site/_data/file/goodsImages/04ff8709c0883b1f96b9ce40b5ec5dd9_1.jpg	계절·환경	냉난방 에어컨			0	렌탈	
5005	삼성세척서비스 1회 무료 냉난방 무풍1Way 15평형 단상, 의무사용기간 60개월, 등록비 면제	64900	http://si.rental-shop.net/html/dh_prod/prod_view/5005	http://rentalshop.site/_data/file/goodsImages/b2abf07e1f2b0cff2a9f5a6342a398ec.jpg	계절·환경	냉난방 에어컨			0	렌탈	
3525	삼성 천장형 4WAY 냉난방기 15평형 (AC060RA4PBH1SY), 의무사용기간 60개월, 등록비 면제	61100	http://si.rental-shop.net/html/dh_prod/prod_view/3525	http://rentalshop.site/_data/file/goodsImages/e60f9f50708f4ecd002c2294e6dd89cc.jpg	계절·환경	냉난방 에어컨			0	렌탈	
5481	삼성세척서비스 1회 무료 프리미엄 무풍4Way 냉난방 15평형 단상, 의무사용기간 60개월, 등록비 면제	64100	http://si.rental-shop.net/html/dh_prod/prod_view/5481	http://rentalshop.site/_data/file/goodsImages/6baa01d4d16ea3028bd9e0785b646a8c.jpg	계절·환경	냉난방 에어컨			0	렌탈	
3528	삼성 천장형 원형 냉난방기 18평형, 의무사용기간 60개월, 등록비 면제	70900	http://si.rental-shop.net/html/dh_prod/prod_view/3528	http://rentalshop.site/_data/file/goodsImages/6200653a4395cbd6ecd211988358ae05.jpg	계절·환경	냉난방 에어컨			0	렌탈	
5490	삼성세척서비스 1회 무료 360CST 냉난방 18평형 단상, 의무사용기간 60개월, 등록비 면제	73900	http://si.rental-shop.net/html/dh_prod/prod_view/5490	http://rentalshop.site/_data/file/goodsImages/518e7bcfcc1bb89bdd70441f8b2cfc09.jpg	계절·환경	냉난방 에어컨			0	렌탈	
1266	삼성 천장형 무풍 1WAY 18평 시스템 냉난방 에어컨, 의무사용기간 60개월, 등록비 면제	68400	http://si.rental-shop.net/html/dh_prod/prod_view/1266	http://rentalshop.site/_data/file/goodsImages/04ff8709c0883b1f96b9ce40b5ec5dd9.jpg	계절·환경	냉난방 에어컨			0	렌탈	
5480	삼성세척서비스 1회 무료 냉난방 무풍1Way 18평형 단상, 의무사용기간 60개월, 등록비 면제	71400	http://si.rental-shop.net/html/dh_prod/prod_view/5480	http://rentalshop.site/_data/file/goodsImages/15ec59e77833b8459bd866a5dbaaa357.jpg	계절·환경	냉난방 에어컨			0	렌탈	
1279	삼성세척 프리미엄 냉난방 무풍4Way 18평형 단상, 의무사용기간 60개월, 등록비 면제	66100	http://si.rental-shop.net/html/dh_prod/prod_view/1279	http://rentalshop.site/_data/file/goodsImages/cfd7d823b2e9df97ed8c58a6042e9d7c.jpg	계절·환경	냉난방 에어컨			0	렌탈	
5065	삼성세척 1회무료 천장형 프리미엄 냉난방 무풍4Way 18평형 단상 (화이트), 의무사용기간 60개월, 등록비 면제	69100	http://si.rental-shop.net/html/dh_prod/prod_view/5065	http://rentalshop.site/_data/file/goodsImages/cfd7d823b2e9df97ed8c58a6042e9d7c_1.jpg	계절·환경	냉난방 에어컨			0	렌탈	
3520	삼성세척서비스 1회 무료 360CST 냉난방 25평형 단상, 의무사용기간 60개월, 등록비 면제	81300	http://si.rental-shop.net/html/dh_prod/prod_view/3520	http://rentalshop.site/_data/file/goodsImages/5af4ecca8c85ec8ff434fbfeacb433da.jpg	계절·환경	냉난방 에어컨			0	렌탈	
5491	삼성 천장형 원형 냉난방기 25평형 (AC090KA4PBH5SY), 의무사용기간 60개월, 등록비 면제	78300	http://si.rental-shop.net/html/dh_prod/prod_view/5491	http://rentalshop.site/_data/file/goodsImages/918a71c7fbe6407d3c903ab77828471c.jpg	계절·환경	냉난방 에어컨			0	렌탈	
1248	삼성 천장형 냉난방 에어컨 25평형 AC090RA4DBH1SY, 의무사용기간 60개월, 등록비 면제	71300	http://si.rental-shop.net/html/dh_prod/prod_view/1248	http://rentalshop.site/_data/file/goodsImages/cfd3cd16d1f8214a78f51419716bc2b7.jpg	계절·환경	냉난방 에어컨			0	렌탈	
5647	삼성세척서비스 1회 무료 디럭스 무풍4Way 냉난방 25평형 단상, 의무사용기간 60개월, 등록비 면제	74300	http://si.rental-shop.net/html/dh_prod/prod_view/5647	http://rentalshop.site/_data/file/goodsImages/cfd3cd16d1f8214a78f51419716bc2b7_1.jpg	계절·환경	냉난방 에어컨			0	렌탈	
5646	삼성 프리미엄 무풍4Way 냉난방 25평형 단상AC090RA4PBH1SY, 의무사용기간 60개월, 등록비 면제	73200	http://si.rental-shop.net/html/dh_prod/prod_view/5646	http://rentalshop.site/_data/file/goodsImages/da405d3e216a32e0e9c3ae1a6060ca23_1.png	계절·환경	냉난방 에어컨			0	렌탈	
1778	삼성 세척 1회무료 천장형 프리미엄 냉난방 무풍4Way 25평형 단상 (화이트), 의무사용기간 60개월, 등록비 면제	76200	http://si.rental-shop.net/html/dh_prod/prod_view/1778	http://rentalshop.site/_data/file/goodsImages/da405d3e216a32e0e9c3ae1a6060ca23.png	계절·환경	냉난방 에어컨			0	렌탈	
